source,target,model,seed,pr_auc,roc_auc,prevalence,lift,diagonal_protocol,cell_kind,wall_s,peak_rss_gb
cert52,lanl,random_forest,4,0.0065477979584561,0.9117946084320336,0.0004515854240541,14.499577731436291,full_source,off_diagonal,33.48469080001814,1.7969207763671875
cert62,cert42,random_forest,4,0.2357140139841256,0.8143449127720346,0.0029232687349448,80.63371361188644,full_source,off_diagonal,49.560858299955726,2.3610153198242188
cert62,cert52,random_forest,4,0.274217449798646,0.8297194043020832,0.0018842382818976,145.53225695132443,full_source,off_diagonal,49.82248720002826,2.5083580017089844
cert62,spedia,random_forest,4,0.4811061182212097,0.648829548640314,0.3203125,1.501989832495484,full_source,off_diagonal,48.95822510001017,2.2241287231445312
cert62,lanl,random_forest,4,0.0157664991294723,0.9289482045336698,0.0004515854240541,34.91365816887659,full_source,off_diagonal,49.698231899994425,2.4005699157714844
spedia,cert42,random_forest,4,0.0695378945461782,0.9666791938642773,0.0029232687349448,23.78771876663944,full_source,off_diagonal,1.4703129000263289,1.8158035278320312
spedia,cert52,random_forest,4,0.0392867109112393,0.932976950923218,0.0018842382818976,20.85018189508055,full_source,off_diagonal,2.0162539999582805,1.4849624633789062
spedia,cert62,random_forest,4,0.0530708071370521,0.9980267387505084,3.156361862540441e-05,1681.3917240255023,full_source,off_diagonal,3.2180082999984734,2.195350646972656
spedia,lanl,random_forest,4,0.0034730534634778,0.8742279499447164,0.0004515854240541,7.690800629255346,full_source,off_diagonal,1.601790999993682,1.7383575439453125
lanl,cert42,random_forest,4,0.0029734683632114,0.5104531282673311,0.0029232687349448,1.017172430186296,full_source,off_diagonal,16.598719500005245,1.365825653076172
lanl,cert52,random_forest,4,0.0056820896552843,0.6278046016225464,0.0018842382818976,3.015589753097399,full_source,off_diagonal,17.26551609998569,1.7513046264648438
lanl,cert62,random_forest,4,8.542138911661211e-05,0.7052216644647521,3.156361862540441e-05,2.706324332782919,full_source,off_diagonal,18.46005629998399,2.374359130859375
lanl,spedia,random_forest,4,0.3359863497782706,0.505116344266891,0.3203125,1.0489329944297228,full_source,off_diagonal,16.154971699987072,1.789794921875
cert42,cert42,random_forest,0,0.9730353381301085,0.9998731029098656,0.0024346267075493,399.6651047624199,user_disjoint,diagonal,7.471165099996142,1.1230964660644531
cert52,cert52,random_forest,0,0.9683800711701216,0.999883694044802,0.0019916581275527,486.218019937004,user_disjoint,diagonal,20.591743999975733,1.7534866333007812
cert62,cert62,random_forest,0,0.024916261449912,0.6110243555623268,2.142392957716304e-05,1163.010798750558,user_disjoint,diagonal,31.56163089995971,2.6671714782714844
spedia,spedia,random_forest,0,0.9728811422370198,0.9886621315192744,0.3552631578947368,2.7384802522227227,user_disjoint,diagonal,0.8430568999610841,0.6485137939453125
lanl,lanl,random_forest,0,0.0572298766561217,0.9345980038406172,0.0004988946902122,114.71334086915088,user_disjoint,diagonal,10.193434899963904,1.2048301696777344
cert42,cert42,random_forest,1,0.9202329067006434,0.9994981269855536,0.0024802089449494,371.03039587633856,user_disjoint,diagonal,7.499507099972106,1.1624794006347656
cert52,cert52,random_forest,1,0.9507490650174631,0.9998557978534895,0.0018223607024022,521.7128879942265,user_disjoint,diagonal,20.6131299000117,1.7719688415527344
cert62,cert62,random_forest,1,0.0049261083743842,0.9995381431684572,2.386851313484278e-06,2063.852216748769,user_disjoint,diagonal,32.688876800006256,2.6593475341796875
spedia,spedia,random_forest,1,0.9744158189591626,0.9929453262786596,0.2222222222222222,4.384871185316232,user_disjoint,diagonal,0.8884244000073522,1.734954833984375
lanl,lanl,random_forest,1,0.0367453225336208,0.905901873163213,0.0003880548105861,94.69106304369488,user_disjoint,diagonal,10.362908600014634,1.2613754272460938
cert42,cert42,random_forest,2,0.9927731249849188,0.9999761881568552,0.0031961249466485,310.617745412595,user_disjoint,diagonal,7.559134099981748,1.2093124389648438
cert52,cert52,random_forest,2,0.9256832705524818,0.9997588141453594,0.0019669438848096,470.6200709137474,user_disjoint,diagonal,20.69622260000324,1.7858428955078125
cert62,cert62,random_forest,2,2.144542140253056e-05,0.499913025036875,2.144542140253056e-05,1.0,user_disjoint,diagonal,31.4639720999985,2.670696258544922
spedia,spedia,random_forest,2,0.9999999999999998,1.0,0.4576271186440678,2.1851851851851847,user_disjoint,diagonal,0.8255820999620482,0.6479339599609375
lanl,lanl,random_forest,2,0.1103268803989501,0.9098889933919834,0.0004986373444982,221.2567542649084,user_disjoint,diagonal,10.169205100042744,1.2017097473144531
cert42,cert42,random_forest,3,0.9886869148681462,0.9999732420301276,0.0023139961399715,427.26385657684,user_disjoint,diagonal,7.574191300023813,1.1944046020507812
cert52,cert52,random_forest,3,0.937188458657189,0.999803006244762,0.0021162745854222,442.8482320360986,user_disjoint,diagonal,21.102730199985672,1.7827835083007812
cert62,cert62,random_forest,3,0.104040404040404,0.9999299452299072,7.164641063423791e-06,14521.370033670031,user_disjoint,diagonal,31.013651799992655,2.674652099609375
spedia,spedia,random_forest,3,1.0,1.0,0.6037735849056604,1.65625,user_disjoint,diagonal,0.8927286000107415,1.7502670288085938
lanl,lanl,random_forest,3,0.03832868331024,0.9209298888619992,0.00035027765912,109.42371662106336,user_disjoint,diagonal,10.219230799993966,1.2616119384765625
cert42,cert42,random_forest,4,0.922324341104058,0.999098411914463,0.0033029969394248,279.23863025578856,user_disjoint,diagonal,7.578980499994941,1.2074966430664062
cert52,cert52,random_forest,4,0.9418720885507316,0.999773155371064,0.0019733164839971,477.30412034204505,user_disjoint,diagonal,21.39741740003228,1.7816810607910156
cert62,cert62,random_forest,4,0.0051546391752577,0.9995583102142556,2.387506655174801e-06,2159.005154639175,user_disjoint,diagonal,32.26835510000819,2.6706275939941406
spedia,spedia,random_forest,4,1.0000000000000002,1.0,0.423728813559322,2.3600000000000008,user_disjoint,diagonal,0.9030063999816776,1.746246337890625
lanl,lanl,random_forest,4,0.0372227522807664,0.9136367695493184,0.0004744315293639,78.45758550379554,user_disjoint,diagonal,10.48508309997851,1.2871971130371094
cert42,cert42,random_forest,0,0.9968578899036536,0.9999907680393206,0.002956034055132,337.22814802250963,temporal,diagonal,8.873086499981582,1.2283096313476562
cert52,cert52,random_forest,0,0.9753621099999684,0.9999333874215582,0.0022936887343667,425.23734602082834,temporal,diagonal,23.22796769998968,1.7859649658203125
cert62,cert62,random_forest,0,0.5800054278703657,0.8552411002988043,9.151797003508992e-05,6337.612467234352,temporal,diagonal,30.545016599993687,2.674407958984375
spedia,spedia,random_forest,0,0.9942391506926176,0.9963768115942028,0.3947368421052631,2.518739181754631,temporal,diagonal,0.750078700017184,1.1849403381347656
cert42,cert42,random_forest,1,0.99629274309108,0.9999890120543328,0.002956034055132,337.0369638879451,temporal,diagonal,8.99519310001051,1.20550537109375
cert52,cert52,random_forest,1,0.9773539679250872,0.999936036640739,0.0022936887343667,426.105754142329,temporal,diagonal,23.13795730000129,1.7854347229003906
cert62,cert62,random_forest,1,0.6671317552018523,0.8552485162146782,9.151797003508992e-05,7289.625796398893,temporal,diagonal,29.927043499948923,2.6771240234375
spedia,spedia,random_forest,1,0.990286159239626,0.9942028985507246,0.3947368421052631,2.508724936740386,temporal,diagonal,0.9031885999720544,1.7529144287109375
cert42,cert42,random_forest,2,0.9969983812979272,0.9999911331451102,0.002956034055132,337.2756750102416,temporal,diagonal,8.813513100030832,1.210693359375
cert52,cert52,random_forest,2,0.977401479652843,0.9988695272290058,0.0022936887343667,426.12646825538366,temporal,diagonal,22.818144299963024,1.7983512878417969
cert62,cert62,random_forest,2,0.783746802468552,0.934199624285616,9.151797003508992e-05,8563.856936162887,temporal,diagonal,30.24828709999565,2.6990928649902344
spedia,spedia,random_forest,2,0.9916237660772328,0.994927536231884,0.3947368421052631,2.51211354072899,temporal,diagonal,0.8599874000065029,1.7748680114746094
cert42,cert42,random_forest,3,0.997246653576042,0.9999918285847096,0.002956034055132,337.35966331128424,temporal,diagonal,8.836312600004021,1.2116470336914062
cert52,cert52,random_forest,3,0.9761164108643428,0.9999343452161852,0.0022936887343667,425.5662053176774,temporal,diagonal,22.90056310000364,1.794281005859375
cert62,cert62,random_forest,3,0.6885042609417199,0.8815650662951187,9.151797003508992e-05,7523.159229577895,temporal,diagonal,29.82706770004006,2.707462310791016
spedia,spedia,random_forest,3,0.9929570994105662,0.9956521739130436,0.3947368421052631,2.5154913185067675,temporal,diagonal,0.9447173000080512,1.7832679748535156
cert42,cert42,random_forest,4,0.9970165414186556,0.9999910462151604,0.002956034055132,337.2818184173844,temporal,diagonal,9.10028329998022,1.2217025756835938
cert52,cert52,random_forest,4,0.975172077953497,0.9999163916615826,0.0022936887343667,425.1544960492415,temporal,diagonal,23.432963499973997,1.7970809936523438
cert62,cert62,random_forest,4,0.6700074505576256,0.8815572066919702,9.151797003508992e-05,7321.047989818072,temporal,diagonal,30.14259219996165,2.71548080444336
spedia,spedia,random_forest,4,0.9930011911213246,0.9956521739130436,0.3947368421052631,2.515603017507356,temporal,diagonal,0.9080649000243284,1.791290283203125
cert42,cert52,day_gnn_zero_shot,0,0.46028237489911805,0.9064191421270792,0.001884238281897617,244.28034358561462,full_source,off_diagonal,737.6339568999829,7.641895294189453
cert42,cert62,day_gnn_zero_shot,0,0.023007957308672854,0.815123596662655,3.156361862540441e-05,728.9391492696146,full_source,off_diagonal,1067.9415177000337,8.238773345947266
cert42,spedia,day_gnn_zero_shot,0,0.6386512518776724,0.761354079058032,0.3203125,1.9938380546424892,full_source,off_diagonal,951.0875386999687,2.275714874267578
cert42,lanl,day_gnn_zero_shot,0,0.0074408362160495786,0.9154776127361686,0.00045158542405410813,16.47713991574279,full_source,off_diagonal,973.7984588000108,5.847370147705078
cert52,cert42,day_gnn_zero_shot,0,0.8619226481395159,0.9947783450121677,0.0029232687349448633,294.84892642132434,full_source,off_diagonal,2311.3786602000473,6.657203674316406
cert52,cert62,day_gnn_zero_shot,0,0.10794077850862752,0.999855350587004,3.156361862540441e-05,3419.78465110936,full_source,off_diagonal,1911.3414257999975,10.14205551147461
cert52,spedia,day_gnn_zero_shot,0,0.6155790645691464,0.7286935800392486,0.3203125,1.9218078113378227,full_source,off_diagonal,1855.2444556999835,6.043895721435547
cert52,lanl,day_gnn_zero_shot,0,0.009115611069718038,0.9116880639492092,0.00045158542405410813,20.185795608464595,full_source,off_diagonal,1935.7980846999562,9.53866958618164
cert62,cert42,day_gnn_zero_shot,0,0.4030494269563174,0.8907462007232823,0.0029232687349448633,137.8762828535911,full_source,off_diagonal,1654.9836206000182,7.9216461181640625
cert62,cert52,day_gnn_zero_shot,0,0.26517694674671427,0.9295248389885069,0.001884238281897617,140.7342952822583,full_source,off_diagonal,1643.295439300011,10.180793762207031
cert62,spedia,day_gnn_zero_shot,0,0.5113203248140017,0.6032380151387721,0.3203125,1.5963171116144443,full_source,off_diagonal,1341.4742009000038,5.683815002441406
cert62,lanl,day_gnn_zero_shot,0,0.0005307308653097272,0.5626365898811299,0.00045158542405410813,1.1752612840004686,full_source,off_diagonal,2485.267841599998,9.078758239746094
spedia,cert42,day_gnn_zero_shot,0,0.2602725388000765,0.9609219565642799,0.0029232687349448633,89.03476293122452,full_source,off_diagonal,13.350676500005648,4.096923828125
spedia,cert52,day_gnn_zero_shot,0,0.020625134688001128,0.6811367231929817,0.001884238281897617,10.946139289362888,full_source,off_diagonal,33.33294160000514,6.156360626220703
spedia,cert62,day_gnn_zero_shot,0,0.009459597673735418,0.8070918776811172,3.156361862540441e-05,299.69940348099794,full_source,off_diagonal,35.27959730004659,5.978218078613281
spedia,lanl,day_gnn_zero_shot,0,0.015709540861367107,0.8962712304284859,0.00045158542405410813,34.787528614928945,full_source,off_diagonal,26.6825401999522,5.199771881103516
lanl,cert42,day_gnn_zero_shot,0,0.002096936676050501,0.3750891013896053,0.0029232687349448633,0.7173260025613252,full_source,off_diagonal,557.4447227000492,6.171482086181641
lanl,cert52,day_gnn_zero_shot,0,0.00120765767548025,0.3035778738228883,0.001884238281897617,0.6409261965869931,full_source,off_diagonal,619.5450679000351,9.676918029785156
lanl,cert62,day_gnn_zero_shot,0,2.024960459199063e-05,0.2800393070758345,3.156361862540441e-05,0.6415488931200195,full_source,off_diagonal,639.8999604000128,9.590511322021484
lanl,spedia,day_gnn_zero_shot,0,0.22657850884255407,0.2283431455004205,0.3203125,0.7073670519962664,full_source,off_diagonal,548.7866470000008,8.061058044433594
cert42,cert52,day_gnn_zero_shot,1,0.4813933780438719,0.9416608344540558,0.001884238281897617,255.48434222398905,full_source,off_diagonal,751.102774500032,7.548057556152344
cert42,cert62,day_gnn_zero_shot,1,0.05436006663526259,0.9211608281694101,3.156361862540441e-05,1722.238102050509,full_source,off_diagonal,464.9941939000273,7.291168212890625
cert42,spedia,day_gnn_zero_shot,1,0.6813253499620509,0.8533431455004206,0.3203125,2.1270645071985976,full_source,off_diagonal,433.13324559998,5.656532287597656
cert42,lanl,day_gnn_zero_shot,1,0.006725172066589703,0.9211306981827143,0.00045158542405410813,14.892358584593964,full_source,off_diagonal,740.4315366999945,6.247852325439453
cert52,cert42,day_gnn_zero_shot,1,0.8716087351512641,0.9943828359471606,0.0029232687349448633,298.1623703397573,full_source,off_diagonal,1711.1974549000151,7.3181610107421875
cert52,cert62,day_gnn_zero_shot,1,0.1729671189586456,0.999907490896152,3.156361862540441e-05,5479.952124989581,full_source,off_diagonal,1728.7988599000382,10.60348129272461
cert52,spedia,day_gnn_zero_shot,1,0.6098642918181572,0.7210190636389122,0.3203125,1.903966569578637,full_source,off_diagonal,1769.2017709999927,8.951152801513672
cert52,lanl,day_gnn_zero_shot,1,0.0007425707524455151,0.5596254283948733,0.00045158542405410813,1.6443638631625577,full_source,off_diagonal,1795.205863500014,9.99606704711914
cert62,cert42,day_gnn_zero_shot,1,0.38517692080846944,0.9390816254627055,0.0029232687349448633,131.76240562629434,full_source,off_diagonal,500.4345336999977,8.224502563476562
